,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,18CkD6cVDEFOzu7cIaCv7n,Wolfgang Amadeus Mozart,"Symphony in D Major (Overture from ""La finta giardiniera"", K. 196 & K. 127 (207a)): II. Andante grazioso",Nikolaus Harnoncourt Conducts Mozart Early Symphonies,30,0.279,0.0265,1.0,-25.575,0.0,0.0583,0.945,0.00399,0.134,0.165,172.721,132547.0,3.0
1,2wXu2k0TvfqEFNRUZikStI,Wolfgang Amadeus Mozart,"Serenade No. 13 in G Major, K. 525, ""Eine Kleine Nachtmusik"": II. Romance. Andante","Mozart: Symphonies Nos. 28, 33, 35 & Serenade No. 13 ""Eine kleine Nachtmusik""",20,0.266,0.0692,0.0,-22.05,1.0,0.0452,0.798,0.709,0.0949,0.207,81.662,317027.0,4.0
2,3htOEGZkLHJlDf8W02dKvy,Wolfgang Amadeus Mozart,"Symphony No. 33 in B-Flat Major, K. 319: III. Menuetto - Trio","Mozart: Symphonies Nos. 28, 33, 35 & Serenade No. 13 ""Eine kleine Nachtmusik""",19,0.415,0.0388,10.0,-18.555,1.0,0.0354,0.985,0.458,0.0906,0.555,137.172,172867.0,3.0
3,3lYtKnLTruwOGr1noGi2D9,Wolfgang Amadeus Mozart,"Concerto for Horn and Orchestra in E-flat Major, K.447: II. Romance. Larghetto - Instrumental",Mozart: Horn Concerti,32,0.216,0.00843,8.0,-27.064,1.0,0.0401,0.99,0.845,0.111,0.144,70.452,283133.0,4.0
4,50lUhaH60BWIsf8KOjrRrb,Wolfgang Amadeus Mozart,"Concerto for Flute & Harp in C Major, K. 299: II. Andantino","Mozart: Concerto for Flute and Harp in C Major, Piano Concerto No. 19 & Piano Sonata No. 16 ""Sonata facile"" (Arr. X. de Maistre)",25,0.304,0.099,5.0,-21.246,1.0,0.0436,0.966,0.906,0.107,0.181,122.633,479160.0,4.0
5,6fbS068D6CV5geWaeJAvNU,Wolfgang Amadeus Mozart,"Clarinet Quintet in A Major, K. 581: II. Larghetto","Schubert: Piano Quintet in A Major, D. 667 ""Trout"" - Mozart: Clarinet Quintet in A Major, K. 581",17,0.16,0.0258,2.0,-27.456,1.0,0.0416,0.966,0.452,0.115,0.0757,87.63,380693.0,4.0
6,4GT22FrT5ZxDc8oYgh2uxK,Wolfgang Amadeus Mozart,"Symphony No. 24 in B-Flat Major, K. 182 (173dA): II. Andantino grazioso",Nikolaus Harnoncourt Conducts Mozart Early Symphonies,35,0.124,0.00688,3.0,-35.923,1.0,0.0442,0.984,0.0169,0.085,0.0387,83.444,208893.0,4.0
7,0GJF7ZRU1xj3IJ2g2FvDrH,Wolfgang Amadeus Mozart,"Symphony No. 13 in F Major, K. 112: II. Andante",Nikolaus Harnoncourt Conducts Mozart Early Symphonies,18,0.313,0.0177,5.0,-27.806,1.0,0.0502,0.917,0.0774,0.141,0.161,116.684,273360.0,4.0
8,4UoTkpYwG0GfMiZ6VaUtrz,Wolfgang Amadeus Mozart,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Mozart: The Complete Piano Concertos,38,0.174,0.038,5.0,-25.788,1.0,0.0376,0.98,0.922,0.103,0.103,184.128,418867.0,3.0
9,2R5c9OmwdS8ELBfwIOW7al,Wolfgang Amadeus Mozart,"Serenade No. 10 in B-Flat Major, K. 361 ""Gran partita"": III. Adagio - Instrumental","Mozart: Serenade, K. 361; Sonata for Bassoon & Cello, K. 292 (Remastered)",19,0.0879,0.0212,3.0,-26.045,1.0,0.0427,0.995,0.626,0.125,0.0377,84.734,395547.0,3.0
