,MONTH,YEAR,UNEMPRATE
35554,1,2006,2.9
35555,2,2006,2.9
35556,3,2006,2.7
35557,4,2006,2.4
35558,5,2006,2.5
35559,6,2006,3.1
35560,7,2006,2.7
35561,8,2006,2.6
35562,9,2006,2.5
35563,10,2006,2.4
35564,11,2006,2.4
35565,12,2006,2.4
35566,1,2007,2.9
35567,2,2007,2.9
35568,3,2007,2.8
35569,4,2007,2.6
35570,5,2007,2.6
35571,6,2007,3.3
35572,7,2007,2.8
35573,8,2007,2.8
35574,9,2007,2.6
35575,10,2007,2.5
35576,11,2007,2.6
35577,12,2007,2.8
35578,1,2008,3.1
35579,2,2008,3.0
35580,3,2008,3.0
35581,4,2008,2.8
35582,5,2008,3.0
35583,6,2008,3.8
35584,7,2008,3.5
35585,8,2008,3.5
35586,9,2008,3.0
35587,10,2008,2.8
35588,11,2008,3.0
35589,12,2008,3.7
35590,1,2009,4.5
35591,2,2009,4.7
35592,3,2009,4.8
35593,4,2009,4.6
35594,5,2009,4.6
35595,6,2009,5.7
35596,7,2009,5.2
35597,8,2009,5.3
35598,9,2009,4.5
35599,10,2009,4.1
35600,11,2009,4.3
35601,12,2009,4.7
35602,1,2010,4.8
35603,2,2010,4.7
35604,3,2010,4.6
35605,4,2010,3.9
35606,5,2010,4.0
35607,6,2010,4.7
35608,7,2010,4.3
35609,8,2010,4.4
35610,9,2010,3.8
35611,10,2010,3.5
35612,11,2010,3.6
35613,12,2010,4.0
